datetime,open,high,low,close,volume
2021-07-01,146.96001,147.50000,146.55000,146.84000,2665427
2021-06-30,145.13000,146.92999,144.71001,146.59000,3244600
2021-06-29,145.25999,146.74001,145.10001,145.55000,2428500
2021-06-28,147.00999,147.29800,144.91209,145.28999,3888869
2021-06-25,145.38000,146.92999,144.95000,146.84000,3594028
2021-06-24,145.80000,146.19000,144.69000,145.44000,3608500
2021-06-23,146.42999,146.50000,144.57001,144.61000,3200900
2021-06-22,146.52000,146.81000,145.35001,146.36000,1904627
2021-06-21,144.25999,147.07001,144.11000,146.62000,3640331
2021-06-18,144.48000,144.67999,143.03999,143.12000,9156505
2021-06-17,147.55000,148.06000,145.28000,145.60001,4366700
2021-06-16,149.75999,149.75999,147.22000,147.83000,3878900
2021-06-15,149.85001,149.91000,148.60001,149.36000,2513281
2021-06-14,150.71001,151.02000,148.65500,150.03000,3344845
2021-06-11,150.42999,151.85001,150.37000,151.28000,3436300
2021-06-10,151.47000,152.84000,149.75999,150.53999,4757100
2021-06-09,149.03000,151.07001,148.82001,150.67000,5302000
2021-06-08,148.12000,150.20000,148.12000,149.07001,5078300
2021-06-07,147.55000,148.74001,147.17000,148.02000,3425602
2021-06-04,146.00000,147.55000,145.75999,147.42000,3116700
2021-06-03,144.91000,145.88000,144.03999,145.55000,4130600
2021-06-02,144.19000,145.75000,144.13000,145.75000,2392877
2021-06-01,145.00000,145.83000,143.75000,144.19000,2417455
2021-05-28,144.21001,144.33000,143.49001,143.74001,2534600
2021-05-27,143.82001,144.77000,143.63000,143.82001,5629600
2021-05-26,143.50000,143.99001,143.03999,143.38000,3083200
2021-05-25,144.92000,145.00000,143.20000,143.78999,3937200
2021-05-24,145.06000,145.39000,144.19000,144.72000,3297570
2021-05-21,144.28000,145.70000,144.28000,144.74001,4031700
2021-05-20,143.17000,144.89999,142.16000,143.87000,3666726
